hour,trades,win_rate,avg_return_pct,std_return_pct,trade_sharpe,avg_win_pct,avg_loss_pct,expectancy_pct,avg_bars,total_return_pct
1,25,48.0,-0.012569003524635303,0.35284479242283756,-0.035621904572628704,0.25491582351181985,-0.25947807463520933,-0.01256900352463533,18.04,-0.31422508811588257
2,60,46.666666666666664,0.42617183188490526,1.8561010719616924,0.22960594028130646,1.438418054920297,-0.4595436132710625,0.4261718318849051,43.43333333333333,25.570309913094313
3,29,55.172413793103445,0.10951442424451674,0.7100072559913125,0.15424409162074357,0.4231916304598592,-0.27654982955898166,0.10951442424451674,17.896551724137932,3.1759183030909854
4,18,38.88888888888889,0.1105568516703644,0.8396272485880583,0.13167373004661298,0.6971560441563551,-0.26273354354799333,0.11055685167036447,37.611111111111114,1.9900233300665593
5,51,45.09803921568628,0.272992478288553,1.2566992832997588,0.21722975569123204,1.03257211868651,-0.3509479406097689,0.2729924782885529,40.96078431372549,13.922616392716202
6,24,37.5,-0.06424068696936255,0.32722840419169175,-0.19631757557247412,0.24090559971925318,-0.24732845898253197,-0.06424068696936254,7.291666666666667,-1.541776487264701
7,11,45.45454545454545,-0.10052183177325118,0.2823579440892141,-0.3560085128736105,0.0931084512202407,-0.2618804009344944,-0.10052183177325116,2.727272727272727,-1.1057401495057628
8,16,31.25,-0.01392913856865588,0.4807536511063584,-0.02897354713084498,0.4391024410887834,-0.21985258386749193,-0.013929138568655908,23.1875,-0.22286621709849408
9,33,48.484848484848484,0.3867839772825552,1.5735124295934937,0.24580929264249804,1.260516483290492,-0.4355524989602089,0.38678397728255526,40.03030303030303,12.763871250324321
10,16,56.25,0.06858444387810511,0.3781112130383177,0.1813869610662797,0.26027512216857146,-0.1778749996382088,0.06858444387810508,10.125,1.0973511020496818
11,24,33.33333333333333,-0.05159330108322202,0.7205691577673226,-0.07160076243491108,0.6254075337618583,-0.39009371850576224,-0.05159330108322216,31.583333333333332,-1.2382392259973285
12,19,42.10526315789473,-0.19087591828671127,0.41034450045799464,-0.4651601716939557,0.14173247152762802,-0.43277292906077625,-0.1908759182867113,7.421052631578948,-3.6266424474475145
13,48,60.416666666666664,0.3210931030881284,1.406641296676527,0.22826935612282637,0.8695459679528882,-0.5160191643370314,0.32109310308812833,32.708333333333336,15.412468948230163
14,12,41.66666666666667,0.3409790953207851,1.9589995524265862,0.1740577709159856,1.4353161317080954,-0.4406902163844365,0.3409790953207852,31.0,4.091749143849421
15,11,36.36363636363637,0.30461280556832726,1.8858583846664723,0.16152475076870645,1.9797927191939624,-0.6526328593606071,0.30461280556832726,43.45454545454545,3.3507408612516
16,26,42.30769230769231,-0.03937416768104483,0.4328241203330945,-0.09097036378366138,0.3168689562547597,-0.3006191252339681,-0.03937416768104482,10.884615384615385,-1.0237283597071656
17,84,41.66666666666667,0.3302409458244948,2.263452900235733,0.1459013994901776,1.5860498862498054,-0.566765440193584,0.33024094582449504,46.214285714285715,27.740239449257565
18,36,44.44444444444444,0.17780276198229955,1.5005483885000659,0.11849185494113224,0.8815437209314853,-0.38519000517704904,0.1778027619822995,26.0,6.400899431362783
19,19,36.84210526315789,0.020932003242815193,0.6186899311996111,0.03383278470724262,0.43186033149545466,-0.21877618823789116,0.020932003242815217,12.31578947368421,0.3977080616134887
20,26,46.15384615384615,-0.05799175944004928,0.31636946699719287,-0.18330390726537413,0.1374074530520547,-0.22547679871899556,-0.057991759440049306,13.115384615384615,-1.5077857454412813
21,51,54.90196078431373,0.11884212500928751,0.4635753132713527,0.2563599087506274,0.35735862748646685,-0.17152579104988733,0.11884212500928755,29.58823529411765,6.060948375473663
22,19,42.10526315789473,0.14474602348097768,1.2066234137599394,0.11995956802291526,0.7755639698958969,-0.31403066482078174,0.14474602348097768,31.94736842105263,2.7501744461385758
23,15,66.66666666666666,-0.07025191548008995,0.32896307168409233,-0.2135556283580481,0.096420268069769,-0.4035962825798078,-0.07025191548009,7.2,-1.0537787322013492
