label,trades,win_rate,avg_return_pct,std_return_pct,sharpe,total_return_pct,t_stat,p_value
Sep,42,45.23809523809524,0.45869865598796733,2.139723748236383,0.21437283965560455,19.26534355149463,1.3726559254461075,0.1773216930327389
Jan,55,49.09090909090909,0.3502593455603707,1.5190380043612433,0.2305797119984862,19.264264005820387,1.6944079183025738,0.09594840593875671
Oct,36,47.22222222222222,0.3473046579268286,1.2334639575286503,0.28156854994181013,12.502967685365828,1.6657820058674175,0.10468395071751256
Mar,64,46.875,0.3159881284174644,2.0956152648339272,0.15078537254428032,20.22324021871772,1.1968217912951769,0.2358603913701772
Aug,51,58.82352941176471,0.29598394366510716,1.2435142541566022,0.23802215589869094,15.095181126920465,1.6830708050860597,0.09859632251914215
Nov,50,46.0,0.21824976137584984,1.2383451807702666,0.17624307403537978,10.912488068792491,1.2337015182476583,0.22319918345958342
Feb,59,42.3728813559322,0.18103258364755456,1.395179481832739,0.12975576691376375,10.68092243520572,0.988190479992588,0.32716404446786645
Dec,68,45.588235294117645,0.07767639139410934,0.8662437272279151,0.08967036522467321,5.2819946147994346,0.7339835725465937,0.4655196113989792
Jul,63,53.96825396825397,0.027201802263455997,0.6607201571615093,0.041169929460479086,1.713713542597728,0.32417234874432316,0.746898678321956
Apr,52,44.230769230769226,0.01730694353418908,1.1351239690709556,0.015246743092169907,0.8999610637778321,0.1088835245611115,0.9137221578221209
Jun,76,38.15789473684211,-0.020095324076793417,0.8427275675389001,-0.023845575783737277,-1.5272446298362996,-0.20650874396583505,0.8369531316503782
May,57,40.35087719298245,-0.02144903733186128,0.613133541959444,-0.034982652006469474,-1.222595127916093,-0.26178619657789753,0.7944467932776133
